City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,gondanglegi,-7.7479,112.0132,28.46,68,19,4.68,ID,1667264270
85,nikolskoye,59.7035,30.7861,1.94,83,100,1.9,RU,1667263726
86,yellowknife,62.456,-114.3525,-8.71,92,100,4.12,CA,1667264083
87,pisco,-13.7,-76.2167,17.03,82,0,4.63,PE,1667264270
88,bethel,41.3712,-73.414,15.47,77,100,1.86,US,1667264271
89,saint-augustin,51.226,-58.6502,3.43,63,7,3.78,CA,1667264271
90,cap malheureux,-19.9842,57.6142,22.48,76,18,2.68,MU,1667264271
91,hualmay,-11.0964,-77.6139,16.82,82,3,3.92,PE,1667264272
92,cottbus,51.7667,14.3333,12.01,97,100,3.31,DE,1667264272
93,vannes,47.8333,-2.5,12.34,73,0,6.6,FR,1667264272
94,ilulissat,69.2167,-51.1,-10.51,83,100,2.5,GL,1667264273
95,qaanaaq,77.484,-69.3632,-12.61,65,100,3.29,GL,1667263722
96,rio gallegos,-51.6226,-69.2181,15.03,33,0,13.38,AR,1667264273
97,pacific grove,36.6177,-121.9166,14.58,87,75,2.57,US,1667263501
98,vanimo,-2.6741,141.3028,29.35,72,100,2.75,PG,1667264273
99,ponta do sol,32.6667,-17.1,21.51,87,96,1.25,PT,1667264274
100,oranjestad,12.524,-70.027,28.28,85,20,5.66,AW,1667264274
101,upernavik,72.7868,-56.1549,-7.6,66,90,1.5,GL,1667264274
102,saint george,37.1041,-113.5841,21.33,23,0,3.09,US,1667263980
103,taldan,53.6667,124.8,-3.46,91,100,5.03,RU,1667264275
104,ostrovnoy,68.0531,39.5131,1.68,80,100,1.65,RU,1667264275
105,turukhansk,65.8167,87.9833,-9.07,88,93,6.53,RU,1667264275
106,rafsanjan,30.4067,55.9939,17.82,26,5,2.83,IR,1667264276
107,pevek,69.7008,170.3133,-13.31,94,100,2.82,RU,1667264270
108,road town,18.4167,-64.6167,28.02,94,20,1.54,VG,1667264162
109,ploemeur,47.7333,-3.4333,14.36,76,100,9.77,FR,1667264276
110,midland,31.9974,-102.0779,18.6,53,0,2.57,US,1667264113
111,jamestown,42.097,-79.2353,15.4,92,100,0.45,US,1667264244
112,dingle,10.9995,122.6711,28.78,79,21,4.21,PH,1667264277
113,sterling,39.0062,-77.4286,16.11,93,100,2.24,US,1667264277
114,thompson,55.7435,-97.8558,2.09,75,100,8.23,CA,1667264277
115,igarka,67.4667,86.5833,-8.34,94,100,8.89,RU,1667264278
116,tuktoyaktuk,69.4541,-133.0374,-12.0,79,100,5.66,CA,1667263728
117,khatanga,71.9667,102.5,-4.13,93,100,9.49,RU,1667264278
118,morehead,37.2711,-87.1764,15.99,97,100,0.0,US,1667264278
119,richards bay,-28.783,32.0377,17.51,83,98,2.55,ZA,1667264279
120,atar,20.5169,-13.0499,25.99,14,0,3.45,MR,1667264279
121,dubai,25.2582,55.3047,24.96,83,9,2.57,AE,1667264222
122,grindavik,63.8424,-22.4338,5.97,93,100,10.8,IS,1667264280
123,nouadhibou,20.931,-17.0347,24.99,33,0,4.12,MR,1667264280
124,freeport,40.6576,-73.5832,16.99,83,100,4.63,US,1667264268
125,lerwick,60.1545,-1.1494,11.78,94,100,8.53,GB,1667264280
126,opuwo,-18.0607,13.84,22.8,28,87,1.01,NA,1667264281
127,woodward,36.4337,-99.3904,17.2,36,0,4.12,US,1667264281
128,charters towers,-20.1,146.2667,34.11,37,54,5.52,AU,1667264281
129,kavaratti,10.5669,72.642,27.66,71,47,2.08,IN,1667264282
130,katsuura,35.1333,140.3,17.51,73,100,4.3,JP,1667264282
131,mastic beach,40.7668,-72.8521,15.72,90,100,2.24,US,1667264282
132,bastia,42.6667,9.3333,16.28,74,0,2.06,FR,1667264283
133,tetiz,20.9667,-89.9333,24.83,74,25,3.09,MX,1667264283
134,marawi,7.9986,124.2928,27.11,56,25,0.34,PH,1667264283
135,jeremie,18.65,-74.1167,26.89,78,34,1.85,HT,1667264284
136,sao filipe,14.8961,-24.4956,26.5,71,100,2.47,CV,1667264284
137,grao mogol,-16.5594,-42.8897,19.68,94,99,0.15,BR,1667264285
138,mirnyy,62.5353,113.9611,-13.2,92,57,1.79,RU,1667264285
139,pangnirtung,66.1451,-65.7125,-13.26,76,2,5.01,CA,1667264285
140,souillac,-20.5167,57.5167,22.21,88,75,6.69,MU,1667264286
141,bambous virieux,-20.3428,57.7575,22.34,88,75,6.69,MU,1667264286
142,lebu,-37.6167,-73.65,11.23,82,0,9.25,CL,1667264287
143,honiara,-9.4333,159.95,29.95,69,44,2.45,SB,1667264288
144,torata,-17.0769,-70.8433,13.14,50,0,0.5,PE,1667264288
145,danville,36.586,-79.395,17.46,97,100,0.0,US,1667264253
146,maarianhamina,60.0973,19.9348,8.92,93,20,1.54,AX,1667264289
147,west bay,19.3667,-81.4167,29.04,84,20,5.66,KY,1667264289
148,codrington,-38.2667,141.9667,8.22,84,100,4.44,AU,1667264289
149,chumikan,54.7183,135.315,1.65,90,89,4.09,RU,1667264290
150,bajil,15.0584,43.2851,26.23,67,22,0.93,YE,1667264290
151,arraial do cabo,-22.9661,-42.0278,23.07,94,100,5.8,BR,1667264290
152,marsh harbour,26.5412,-77.0636,26.96,77,4,5.66,BS,1667264291
153,yulara,-25.2406,130.9889,18.91,37,0,7.72,AU,1667264194
154,coihueco,-36.6167,-71.8333,19.41,40,0,5.66,CL,1667264291
155,kirakira,-10.4544,161.9205,29.5,71,32,2.9,SB,1667264291
156,narsaq,60.9167,-46.05,-11.4,78,9,2.91,GL,1667264292
157,owase,34.0667,136.2,18.03,94,100,6.09,JP,1667264292
158,touros,-5.1989,-35.4608,25.5,72,100,6.21,BR,1667264113
159,matamoros,25.5333,-103.25,22.84,35,0,4.0,MX,1667264292
160,tiksi,71.6872,128.8694,-18.39,98,65,3.31,RU,1667264293
161,geraldton,-28.7667,114.6,18.23,52,0,5.66,AU,1667263723
162,la rioja,42.25,-2.5,7.88,84,7,1.12,ES,1667264285
163,avarua,-21.2078,-159.775,24.03,73,100,6.69,CK,1667264293
164,skibbereen,51.55,-9.2667,12.28,85,100,11.2,IE,1667264294
165,georgetown,5.4112,100.3354,27.91,88,20,1.03,MY,1667263720
166,mayumba,-3.432,10.6554,25.14,90,85,1.06,GA,1667264294
167,muromtsevo,56.3724,75.2418,-4.0,92,100,3.16,RU,1667264294
168,vestmannaeyjar,63.4427,-20.2734,7.12,73,62,7.2,IS,1667264295
169,san patricio,28.017,-97.5169,23.93,65,86,4.12,US,1667264295
